;;;;;;;G83;;;;;;;;
E10;L10;G50;G50;G40;G40;G60;E22;;;;;;;;
G11;E20;G60;E11;;;;;;;G71;;E20;G20;G20;E21
G11;G61;;G31;;;G71;;;;G51;;G63;;;G63
G51;G63;;G41;;;G53;;E10;G50;E12;;G21;;;G31
G41;G73;;G31;;;G51;;G41;;;;G61;;;G41
G31;;;G41;;;K30;G30;K20;G20;G60;G62;E22;;;G73
E23;G20;G62;L83;G40;E11;G31;;G31;;;;;;;
;;;;;G11;L80;G30;K10;G72;E10;G40;G40;G72 ;;
;;;;;G11;G71;;G11;;G11;;;;;
;L60;G20;G10;G10;K32;G31;;L13;;E13;G40;K31;G30;G62;E21 
;G61;;;;E11;G31;;K30 ;G10;E11 ;;G11;;;G21
;G31;;;;E13;E12;;G11;;G73;;G11;;;G61
;G31;;;;;;;G53;;;;E13 ;G72;;G63
;G61;;;;;;;G51;;;;;;;G21
;L80;G20;G20;G62;G40;G40;G50;K10;G50;G40;G40;G62;G20;G20;E22
;G63;;;;;;;G11;;;;;;;
;E23;G30;G62;G72;;;;G11;;;;;;;
;;;;;;;;G93;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
ok;ok;ok;ok;ok;ok;ok;OK;ok;ok;ok;ok;ok;ok;ok;ok
